CustomerID,Gender,Age,MaritalStatus,TenureMonths,Region,CreditCardType,AccountBalance,CreditLimit,TransactionsLast6Months,AvgTransactionValue,LatePayments,CustomerServiceCalls,OnlineBankingUsagePercent,OffersRedeemed,SatisfactionScore,Churn,ChurnReason,CustomerLifetimeValue,RiskSegment
CUST00001,Male,32,Single,92,Ahmedabad,Silver,698416,1049627,31,3586,2,0,19,8,4,No,nan,329912,Medium
CUST00002,Female,18,Divorced,81,Chennai,Platinum,323300,425673,35,44573,4,0,100,4,1,No,nan,3610413,Medium
CUST00003,Male,33,Single,25,Delhi,Gold,129356,241598,49,3090,2,0,28,6,4,No,nan,77250,Medium
CUST00004,Male,47,Divorced,18,Kolkata,Gold,362584,682410,36,40393,2,1,5,8,4,Yes,High Fees,727074,Medium
CUST00005,Male,43,Married,52,Hyderabad,Silver,127586,164233,47,8360,3,0,25,0,2,Yes,Better Offers Elsewhere,434720,Medium
CUST00006,Female,42,Married,104,Ahmedabad,Silver,62036,87662,13,38676,0,1,60,1,1,Yes,High Fees,4022304,Medium
CUST00007,Male,35,Divorced,43,Pune,Silver,101632,181806,26,2448,0,1,85,4,2,No,nan,105264,Medium
CUST00008,Male,25,Divorced,67,Pune,Platinum,41954,79543,18,37231,1,1,42,4,4,Yes,High Fees,2494477,Medium
CUST00009,Male,43,Married,89,Mumbai,Gold,57072,71758,30,33961,1,2,46,8,5,No,nan,3022529,Medium
CUST00010,Female,29,Single,7,Bengaluru,Gold,42554,81784,45,26795,1,2,25,6,4,Yes,High Fees,187565,High
CUST00011,Male,59,Married,111,Bengaluru,Silver,690921,863174,8,38631,7,2,80,9,4,No,nan,4288041,Medium
CUST00012,Male,43,Married,74,Pune,Platinum,95582,163161,37,45393,1,1,0,8,2,Yes,Low Satisfaction,3359082,Medium
CUST00013,Male,32,Married,44,Delhi,Platinum,606379,738363,16,12424,1,2,94,6,3,No,nan,546656,Medium
CUST00014,Male,31,Married,44,Rural Areas,Silver,35895,69730,18,39155,2,2,72,5,3,Yes,Low Satisfaction,1722820,Medium
CUST00015,Female,37,Single,51,Pune,Silver,27909,41387,43,11351,2,1,25,5,5,No,nan,578901,Medium
CUST00016,Male,35,Married,83,Tier-2 Cities,Silver,357445,614463,3,8234,0,0,63,0,4,Yes,Technical Issues,683422,Low
CUST00017,Female,49,Married,79,Mumbai,Silver,171845,231595,47,43181,5,1,61,6,3,Yes,Better Offers Elsewhere,3411299,Medium
CUST00018,Female,39,Single,85,Delhi,Gold,412935,601648,10,49459,1,0,5,3,5,Yes,High Fees,4204015,Low
CUST00019,Female,30,Married,21,Hyderabad,Silver,57378,103156,21,5793,1,2,61,9,4,Yes,Low Satisfaction,121653,Medium
CUST00020,Male,56,Married,37,Delhi,Silver,725877,1436072,3,47113,5,0,65,2,1,No,nan,1743181,Medium
CUST00021,Female,38,Married,28,Delhi,Gold,112901,225084,16,14320,2,1,41,0,5,Yes,High Fees,400960,Medium
